urls,name,Address,Email,Phone,Capacity,Tix_Sold,First Name,Title,Directory Phone,Directory Email,Second name,Second title,Second phone,Second email,Third name,Third title,Third phone,Third email,Fourth name,Fourth title,Fourth phone,Fourth email
https://discover.gigwell.com/venues,Data error,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=59a4b756df2b0b52f10c7862,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_444"")>","46 Geary St, San Francisco, CA 94108, USA",info@hawthornsf.com,(415) 693-9255,260,0,Chadwick Baumbach,Owner,(415) 693-9255,chadwick@hawthornsf.com,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=542c551802be633725e39ba3,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_444"")>","85 Campton Pl, San Francisco, CA 94108, USA",,(415) 205-5045,500,0,Peter Doukakis,Bookings,peter@audiosf.com,No value,Adam,,415-205-5045,adam@loveandpropaganda.com,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=52d700b3b19a7ea5215a9e94,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_444"")>","115 King St, Madison, WI 53703, USA",kasey@majesticmadison.com,+1 608-255-0901,600,416,Scott Leslie,Bookings,608-255-0901,scott@majesticmadison.com,Beaver Bertram,Operations,608-255-0901,beaver@majesticmadison.com,Dan Edwards,Production Manager,608-255-0901,dan@majesticmadison.com,Matt Gerding,Owner,608-255-0901,matt@majesticmadison.com
https://discover.gigwell.com/venues?venueId=5b2be247d117d7187ff3413d,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_444"")>","Brambanis vei 2, 1337 Sandvika, Norway",mari@toothfairy.no,No value,350,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=5b2bedf0d117d7187ff3419b,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_444"")>","Kirsten Flagstads Plass 1, 0150 Oslo, Norway",post@operaen.no,+ 47 21 42 21 21,1356,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=5a25ff462efd2c617059a1d7,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_444"")>","100 SW 3rd Ave, Fort Lauderdale, FL 33312, USA",jeff@jointherevolution.net,954.449.1025,1300,0,Brando Garcia,Bookings,786.246.3686,brando.bmg@gmail.com,Brando Garcia,Mktg. Dir. / Booking,+1 786 246 3686,brando@jointherevolution.net,Jeff,Revolution,954.449.1025,No value,Jeff,,954.449.1025,jeff@jointherevolution.net
https://discover.gigwell.com/venues?venueId=59236b9e486fad670be2e2ae,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_444"")>","Smartbar, 3730 N Clark St, Chicago, IL 60613, USA",,(773) 549-4140,400,0,,Bookings,(773) 549-0203,smartbar@metrochicago.com,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues,Data error,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=534562783adef61c5c842fac,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_642"")>","1805 Geary Blvd, San Francisco, CA 94115, USA",LindseyFragulia@LiveNation.com,(415) 346-6000,1000,875,Michael Baileyy,Bookings,415-371-5500,michaelbailey@livenation.com,Arnie Bailey,GM,415-281-9227,No value,Michael Bailey,Talent Buyer,415-281-9298,No value,Amie Bailey,GM,415.281.9227,No value
https://discover.gigwell.com/venues?venueId=54f8ead9f626b6800fc05840,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_642"")>","222 N Main St, Tulsa, OK 74103, USA",,+1 918 561 6885,480,0,N/A,,+1 918 561 6885,No value,,,+1 319 804 9727,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=5a2600ad2efd2c617059e717,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_642"")>","Parc de, Parc de la Villette, 211 Av. Jean Jaurès, 75019 Paris, France",infos@letrabendo.net,01 42 06 05 52,700,0,Matthieu Meyer,Bookings,33.1.4206.0552,matthieu@letrabendo.net,Julie Bathellier,Communication,33.1.4206.0552,com@letrabendo.net,Fabien Catala,Production,33.1.4206.0552,production@letrabendo.net,Xaviere Voisin,Administration,33.1.4206.0552,administration@letrabendo.net
https://discover.gigwell.com/venues?venueId=592478147765785a0b62b19d,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_642"")>","323 23rd St, Miami Beach, FL 33139, USA",,(305) 240-9232,800,0,Matt Ohashi,Talent Buyer/Promoter,matt@minimaxevents.com,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=5b2beba5d117d7187ff34186,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_642"")>","Grønland 60, 3045 Drammen, Norway",booking@unionscene.no,32 21 31 00,1300,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=55e0758490df84783f749dd9,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_642"")>","1350 3rd St, Napa, CA 94559, USA",shawn@kendallconcerts.com,707.259.0123,860,735,Shawn,Bookings,707.259.0123,shawn@kendallconcerts.com,Erica J Simpson,GM,707.259.0123 x6,erica@uptowntheatrenapa.com,,,(707) 259-0123,info@uptowntheatrenapa.com,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=54ff343981e2eee93b9a5ad6,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_642"")>","8901 Sunset Blvd, West Hollywood, CA 90069, USA",mproductionsrocks@gmail.com,(310) 652-4202,500,0,Erika Gimenes,Bookings,310-652-4202,Erika@Whiskyagogo.com,Luke Iblings,,310.652.4202,mproductions1@yahoo.com,Tyler Porterfield,Booking Asst.,tyler@whiskyagogo.com,No value,,,(310) 652-4202,mmaglieri@whiskyagogo.com
https://discover.gigwell.com/venues,Data error,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=5a20baec99795d2dfbbcae72,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_856"")>","Rotenturmstraße 25, 1010 Wien, Austria",vienna.reception@hardrock.com,43.1.5350.403,316,0,Hard Rock Cafe Int'lColleen Flynn,Bookings,407.370.5900,colleen_flynn@hardrock.com,,,+43 1 5350403,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=5c51e049109b370444818670,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_856"")>","2701 S Lamar Blvd, Austin, TX 78704, USA",04center@gmail.com,+1 512-333-0404,325,0,,,+1 512 333 0404,04center@gmail.com,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=5a2eec1592901b5e1b39912c,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_856"")>","9039 Sunset Blvd, West Hollywood, CA 90069, USA",Reservations@1oakla.com,+1 310 274 2326,1000,0,,,+1 310 274 2326,Reservations@1oakla.com,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
